Subject ,Year,Month,Question 
Chinese,2018,May,在你選修的兩部作品中，家是怎樣被描寫的，其角色是怎樣被辨識的？討論家的再現的意義。
Chinese ,2018,May,從你選修的兩部作品中，盡量指出作者怎樣展現希望與純真，以及説明其對整部作品的效果。
Chinese ,2018,May,所有的文學作品都含蓄地教導我們關於人的價值。用你選修的兩部作品來討論這句話的有效性。
Chinese ,2018,May,文學的吸引力之一是其具有多義性。用你選修的兩部作品，來討論這句話的有效性。
Chinese ,2018,May,「新」與「舊」之間經常產生張力。在你選修的兩部作品中，作者如何運用這種張力來達到什麽樣的效果？
Chinese ,2018,May,在你選修的兩部作品中，仔細觀察強與弱如何被再現，討論二者之關係的意義。
Chinese ,2018,Nov,以你選修的兩部作品為基礎，探討作者如何描寫「童年」來加強主題
Chinese ,2018,Nov,以你選修的兩部作品為基礎，探討不同環境的人們如何追求幸福生活。
Chinese ,2018,Nov,以你選修的兩部作品為基礎，分析次要人物的設置如何幫助讀者理解作品。
Chinese ,2018,Nov,以你選修的兩部作品為基礎，評論作者如何使用任何的感官描寫（視覺、聽覺、味覺、嗅覺、觸覺） 去感染讀者。
Chinese ,2018,Nov,以你選修的兩部作品為基礎，探討作者對負面人性的描寫及其作用。
Chinese ,2018,Nov,以你選修的兩部作品為基礎，分析作品中以男性或女性作為敘述視角，對文學創作產生的影響。
Chinese ,2019,May,在你所讀過的兩部作品中，頹廢在什麼語境之下出現以及如何出現呢？
Chinese ,2019,May,在文學文本中，作者經常通過瘋癲之描繪及其對人物之影響來挑戰社會的價值觀。利用你讀 過的兩部作品來討論這個說法。
Chinese ,2019,May,利用你所讀過的兩部作品，來論述它們的完結/結尾是否恰當。
Chinese ,2019,May,讀者會同情或者憎惡作品中的人物及這些人物所持有的態度與價值觀，在你讀過的兩部作品 中，這種情況達到什麼程度呢？
Chinese ,2019,May,特定的歷史語境與文化語境能夠決定一個文學文本的風格與意象。利用你所讀過的兩部作品 來討論這個說法。
Chinese ,2019,May,在你讀過的兩部作品中，次要人物的行為如何促進情節的發展呢？
Chinese ,2019,Nov,請以你選修的兩部文學作品為基礎，探討人們如何渴望逃離現狀，去追尋更美好的未來。
Chinese ,2019,Nov,受害者在文學作品中常扮演重要的角色。請以你選修的兩部文學作品為基礎，分析作者如何 描寫受害者的遭遇以及其作用。
Chinese ,2019,Nov,請以你選修的兩部文學作品為基礎，解析作者如何維護而不是挑戰其作品所反映的社會價 值觀。
Chinese ,2019,Nov,請以你選修的兩部文學作品為基礎，分析作者如何使用恰當的情節和人物去增加讀者對於「愛」的理解。
Chinese ,2019,Nov,請以你選修的兩部文學作品為基礎，探討作者如何呈現「背叛」的主題
Chinese ,2019,Nov,請以你選修的兩部文學作品為基礎，評論「公義」的概念如何因時代的不同而改變。
Chinese ,2020,Nov,通過直白表達與比喻技巧，討論健康在你選修的兩部作品中的意義。
Chinese ,2020,Nov,在你選修的兩部作品中，虛偽如何呈現，其在作品中有什麼重要性？
Chinese ,2020,Nov,在你選修的兩部作品中，作品通過什麼方法令讀者看來是樂觀的，試討論之。
Chinese ,2020,Nov,在你選修的兩部作品中，討論我們對對與錯的理解如何受到風格技巧的影响
Chinese ,2020,Nov,文化語境對於讀者解讀文學作品是否重要？請以你選修的兩部文學作品為基礎加以分析。
Chinese ,2020,Nov,在你選修的兩部作品中，作者如何利用風格技巧來強調對偏見的批判？
Chinese ,2023,May,請以所學過的至少兩部作品為例，分析作品如何表現孤獨
Chinese ,2023,May,請以所學過的至少兩部作品為例，分析作品如何表現人物的發展變化
Chinese ,2023,May,請以所學過的至少兩部作品為例，分析作品如何表現衝突，探索衝突背後的意涵。
Chinese ,2023,May,請以所學過的至少兩部作品為例，分析作品如何比較對照天真幼稚與成熟老練。
Chinese ,2023,May,請以學過的兩篇/部作品為例，分析意象在作品主旨的表達上所起的重要作用。
Chinese ,2023,May,請以學過的兩篇/部作品為例，比較作者如何表現希望，取得什麼樣的效果。
Chinese ,2023,May,請以學過的兩篇/部作品為例，分析討論在作品中正義如何被定義，以及正義如何實現。
Chinese ,2023,May,請以學過的兩篇/部作品為例，分析討論作品如何表現男性和女性對事物的看法的不同。
English ,2019,May,Discuss the ways in which philosophical or aesthetic ideas are represented in at least two of the works you have studied.
English ,2019,May,There is no love without suffering. Discuss the extent to which at least two of the works you have studied support this view.
English ,2019,May,"In at least two of the works you have studied, discuss the means as well as the effectiveness with which power or authority is exercised."
English ,2019,May,"Pleasure is often deferred, delayed or denied. Discuss why this is so by analysing examples in at least two of the works you have studied."
English ,2019,May,In what ways are the contradictory or the paradoxical significant aspects of at least two of the works you have studied?
English ,2019,May,Consider why writers create characters who do not conform to norms in at least two of the works you have studied.
English ,2019,Nov,"In at least two of the works you have studied, explore how the title and/or opening lines take on increasing significance throughout the work."
English ,2019,Nov,"With reference to at least two of the works you have studied, examine how writers structure their works to engage the reader and to explore their ideas."
English ,2019,Nov,Many works of literature have caused controversy. Examine how the form and/or content of at least two of the works you have studied have caused controversies.
English ,2019,Nov,"In at least two of the works you have studied, discuss the significance of characters’ relationships with their pasts."
English ,2019,Nov,Discuss the role of the villain or villainous forces in at least two of the works you have studied.
English ,2019,Nov,In what ways could you say that at least two of the writers you have studied distort reality in order to create a particular effect or to present a particular idea?
English ,2020,Nov,"In what ways do cultural, physical or geographical surroundings influence the characters in at least two of the works you have studied?"
English ,2020,Nov,To what effect have humorous elements been used in at least two of the works you have studied?
English ,2020,Nov,"Works of literature may be set in times past or times yet to come, but their central concerns are always relevant to the time in which they were written. Discuss with reference to at least two of the works you have studied."
English ,2020,Nov,"Discuss in what ways and to what effect the “freedom to act, to speak, to think” has been explored in at least two of the works you have studied."
English ,2020,Nov,How have aspects of mystery or suspense been used to develop plot and/or atmosphere in at least two of the works you have studied?
English ,2020,Nov,"In what ways would you argue that war is an important factor, either contextually or within the body of the work, in at least two of the works you have studied?"
English ,2023,May,"Referring to two works you have studied, how is an unconventional order of events used to achieve a specific effect?"
English ,2023,May,"How, and to what effect, do the writers in two works you have studied portray the societies they are writing about?"
English ,2023,May,"Referring to two works you have studied, how, and to what effect, do the different points of view expressed influence the reader?"
English ,2023,May,Discuss how and to what effect contrast has been used in two works you have studied
English ,2023,May,"Referring to two works you have studied, discuss how the writers portray the significance of a journey."
English ,2023,May,"With reference to two works you have studied, discuss the means by which the passage of time is communicated and the effect this achieves."
English ,2023,May,"Referring to two works you have studied, compare and contrast the ways in which they show the main characters overcoming limitation."
English ,2023,May,"With regard to two works you have studied, explore the representation of poverty"
